Address,mint_cSTONE
0x4292c7c69233cf3577fcbd9205a4a6096857a7a4,T
0x3b2ae6db08362c1c52a22c6e44902bee097c4e4a,T
0x21bd79af9d91a30980661887319652b1a253eec7,T
0x0863e6edc0a540021a7151c6aa9e500648a3411a,T
0xd8a7b4100ee7096581c61244d0ba31cdaff0b554,T
0x84af2793b6a520ef7152f0db7c45de68e27fc531,T
0x622a6140025822beef5c6e0a095001df97d966d1,T
0x4cb98a6bca123174f39cf3536735443175fae4f8,T
0x59d1be9b4788dbad86a12bba336171e690854430,T
0x430cb73d260573570ea22036e93e92bdbffb58a7,T
0x314841d7c4fcf324af480fc91f6b7da4477600e8,F
0xc3576388a4bec33933b3068b0a3004c563832546,T
0xc4d2cd25fa8f578e470c49d5fae14719f1348bb3,T
0x688cede8449fb980c8d6723563f273fd1a112f7f,T
0x77d30d7217ddbe420d10896941522108945f4948,T
0xd4a6cb749c663d9bf8920dd4397b28cb23b6344b,T
0x9a5cdc551713f81849367f65446a054c7c02079b,T
0xd6f6a387019961592c97670fc4c243f5fc6d2153,T
0x26c8784e4638de308b76b85e7be543a446808a3e,T
0x386230956f06b1e86741dcd7a7fa948f489ec33e,T
0x9dc4b6fb385743a8e610d74ee9d481af4c5daa52,T
0xdbd325f48ec50c224677e59b0f77a4a78831848f,T
0x61ed234f989fbd0185718fab37360b85faa4b5cf,T
0x4765356781f4144fb3e29f8be744c79f16c6a373,T
0x49e9f02f9a82783035cbea8a930511983c64f397,T
0x106f76ca9cdb45196b8f340425358a86447cb583,T
0xe0676bc6eaac862f121f6d5b47951b91d780e2a3,F
0xf2532c1bb1b6423a1c75478cbc9b399d8c0464c6,T
0x033bc0698bfd7b884e1f9b0e51f97ed3263f18ce,T
0x469ae9b2452855fcbff657f2fde7928ec301c923,T
0xe44db3e5a5a0cefb7d9005ef299d5a718b3bc841,F
0xb6f8b442b679e3aaa090c75320409f4504206d3c,F
0x48f461ef9798b9efe73dca429add751284d8488b,T
0xc6db6defe689e38aec989f6877115e6129d41e4c,T
0xb4c9b3cc1d965d35d9a0cf1b3fbec72164d77566,T
0x304fab728f47c37f036dc2623ecc631edccfe9c4,T
0x686319ae6e392e020b851eda938f3bc1ac52008e,T
0x82901e496b238487e3b3c1b24a2746b3947b3887,T
0xa582c011842e4aa4d3e3578128dd9851c5846a5c,F
0x566e9044bec8ee0db4e5b905660cfcc27a541b88,T
0x3c3e13d758ddb704513cecfc34049e92e1058d5a,T
0xc03109b0830748fbf9a0d83c495cbbcb2cca2965,T
0xfbfe90bd4a77fd93a4a6d211659202a885398265,T
0x6b69a26e05ba29dcf0c3e354bb0823cc56aeabfc,T
0xbc1e6d3f3c00124f506a0edcfb622f9b3baa640e,F
0xaf4f9aa4a83133ae981b5afeda7d764621c5fae6,T
0x4ba27573d123fb1286c9c7b94a7819636a4ee0b1,T
0x0ee007fdcd73ad1062a3e5d8863b8022448a2dab,F
0x9b0dec8f04501565357917a275ea829352a1fd01,T
0xf56e9140540108c2c071912c024a173a7d8e5ed7,T
0xee3b3fcc5dbddd955c265e9709093a2f8c4a3d90,T
0x045c9001f782af21b13fe713cc847b9c6a9f70e2,T
0x1724f96ef86a23e757745e4e09371b78c3cbf142,T
0x9edf273c6c73ed95d6d1cba07d94788113305eef,T
0x126239b844335bf270c59eee455aa2fee5cae81c,T
0x6f96aa8284954732481e7b3c6c352c3e50115afc,T
0xae436f9ce125abc292f6617fdf7b867d4ec3787c,T
0xe34660898a0fc68d9c54d4c74869e1e7c712a8f6,T
0x7fac38218b0cf6d5ef28fbfb43fe97889f8998e9,F
0x5088ea6c3f8345238fc0b901e0636f1c6ae3bbb1,T
0x68dbadc0b2f9c4d7e3bbbea3b2dc7d3ab98ebdf4,T
0xb45a76fe928436197972d0910756f168fd327766,T
0x8a4db30a284dadf6a6a318348513eb0cb9fb9b51,T
0x9873bb9187b601be303ca2545f6ae8618589aba3,T
0xe28f193dc953cfbbfd96eb9f72b352f83254ce42,F
0xd4c881c20b8002af7005696f0ad170dd356b8c2e,F
0x0c6db92f738e637d92b03c4e7d7dc549537785af,T
0x63457c1f783aafb965c36d25e39ba72aed07efaa,T
0xbe3a15a993e0dd9faa67190ea9f9657c93d38023,T
0xfb34f2f05a783d34f4d63cd6099ec0a1f1b4d0ba,T
0xfd6c9ba740d38ceb842a19694a307abfc36162d2,T
0x7eea30267158594582272075c2f29d156ffab764,T
0x468e0d559175a0978a1f24a1af834b391c8601d8,T
0xc14dfaccb6057b80b1f1a8381f63a358487ae898,T
0x3a0fea0ce1b984b7e4bd7f63cfa0d9d95d4e9659,T
0x955a279bf6772e388f8ac47692e607aa6b2755c6,T
0x17a07d039780f94134aed9d7066c5af01da00bad,T
0xab78b787d106ae889132972f7e3c6b7c15af4814,T
0x4596157e5a618064e9cbf9bfe44a97583877b67b,T
0xa87b532f13abad459d96ffaf9b845dcbbcc6ec22,T
0x166e9eea55c16a78d139940f48dd7bc09fc71473,F
0xd7b68969861ced7534a333c28d0fa62b9dfeee53,T
0xcf21c3bbcc34afa5d474cff53752f8ee8395bf9b,T
0xff8cf89583c1660caf9899f9362014ca2ef87ac8,F
0xb1f9b3d74a6140d640e01b0569868b86a9b3d8f1,T
0xb1b896583e2e82242c25165f24508989c88482ea,F
