address,points,
0xd746a2a6048c5d3aff5766a8c4a0c8cfd2311745,11825343421,
0xad534bc6e6a6e9bc221e5122dc1bf42474d528c3,2377153728,
0x4a9ce81c0d560d2e0f9014b7d758e93a7a0a64c1,2312762232,
0xd589d2c94a803ce135fa44733ecc0c34e89e11d6,1050826861,
0xdade1979656d0dfede5acf06047f72b34d413421,820596612,
0x2b51d730cdcd79b235d929e402b744cb3ffdd24d,745177953,
0x366c608ebea8e8162bbbaa650ae0ab02b9b2be72,583971906,
0xf078969e55cabf9ae3f26afeb5ec627b4430f19e,583751556,
0x6632f58b392830898024db1d668ec677e56d68e4,495732002,
0x8cf3fd760325ae720d41583d2b304d10f46cd967,441976912,
0xaaf5feaa9e5694b2b293e67558e2da8ea4b1fb13,438697266,
0x6a7021c4cdd9f1d6e1698c836227c7443d85a9b4,353744390,
0x089a2c44131b1eb30cc4fc226560163fcef2c288,327625444,
0xfd9b33a607f9956d85b19aa9791c660412c20b98,283874109,
0xe6c008e78ca4808c8a756f95847b6bc18f9b396e,245508911,
0x854051eb79862cadec4f5b11650ad2f59ce415c4,230436792,
0x5f69aa407a64f9460c0ff680365ed4970bb85c92,215359368,
0x3bec5a2012ad1a6e7a6868b023944e49087e9356,199713060,
0xd1da418fc86e02e78e052384a03b73ebb99b360b,198510605,
0xab2c0a99974a3fcd54e9d9171d81617adcab5e96,185662568,
0xa13ed4a199ea2173c611d3fd9572f827b905c0b9,160676010,
0xf50fa91cd7f63c94b4308e50676d2e9247cbb8a4,138843995,
0x24461ffd4d8b6c58aff4fe7926d1da4f660baca6,129575789,
0x15977e15d7b24c76f94d2902970e0f0eedd78618,128862231,
0xf6853c77a2452576eae5af424975a101ffc47308,117286220,
0x75ff7ca999a11b488c07f8ed50536f9bab01ef25,114883692,
0x5e894d83381592d0e5864e02214880adad0b09a5,114353750,
0x4924cf2c7d5b5d34b46df58d42ef55ed832a6894,113168053,
0xcd66c0da6683cba35fcf7dcc14260f749e76a5ef,112157034,
0xb8a205399ff41145cf45c914b990befd125e581c,107518050,
0x5981e2d42a4c4b26114c1675c95858ed08ff2cf3,105602640,
0x5dca817c0386f5095042d8f67565d554a6f4c719,100498258,
0x9a05e72c654cb580420147724fe29e366e806c8b,99679987,
0xb312628fc7454dc2d492e5fcd59b85c6653bc26f,97846562,
0x0f78822431ca9357b25076ce9d5a3bfda7bbde25,96959024,
0xcd70c83f22de83aa2cbc0ea0e86a8ef1562d6263,96498961,
0xd76945a7666c5b1a1e4b07c77aea8e3e96abaf0b,95406858,
0xc3a6f05d7c5e89159a8f6c49c6dc302294148c91,92464154,
0xdf756dc2f93f70d2cc0901c506d77216aecf2b7d,91832519,
0x03387d5015f88aea995e790f18ef7ff9dfa0943c,91817264,
0x15093ef2c02a3851a0c3412afe3f2eb9fac7ed71,91160779,
0xf9c99018f35c40fe61970d3748e3f9fcd5a9f41a,90256254,
0x4e0e46a5097364dae78cd04feddeee18758e018c,87480422,
0x54d39f2acfdf0e992eeef53ce23cdfaa5f70adb5,85426170,
0x184053aef84c3f13a98ffc52e1f80c9020018fce,84281130,
0x54494827316c7c6627908a9261ab13ac0a5222e3,74395038,
0x6aa2e02d63b20f2eac879fdc44ec49ebafab6fd3,73544552,
0xcd532749cf70321ae426f2128c90a477cc71dfe9,72072972,
0x253dbbabaa9fc1819ee7619d822ce890ba17e1ad,70378100,
0xb54911f222e9cb8d8c4f50a0d149cfe07863578a,69641804,
0x0328c0d6aff5e69df97748fefaa7199cf1291f79,68965884,
0xf322afc9f43526df7d5a3f1387fdb9bca39c7d9d,66778890,
0xa8d092b8b1a07ef7b8b409ced7cfb13c0e46e439,65494688,
0x064b705f1ae65626b5765837cd42864703a02400,64796652,
0x3df3a7ee1a5175ef463e37714c44653a49d1ac14,62802498,
0x5539b08b1d5662ded7a38b8aede94706dd31be6c,62229168,
0xe49946e1a9a59e883ab4954afd09e50a803fdedd,61740000,
0x60ef0caf181b9fcb3fb7cab5bf44411974be9158,60624800,
0x4919a26e813f03ae68c95ada1ddb195959aecaff,59405724,
0xa4228088b7e0e8976b03e9e5f96347efa1628186,59292655,
0x962cbd75dfb05e0792bbf614cf18fd5f021cb91b,58827820,
0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,58018214,
0x6fc2f00ed4f067201d66cb64e962abd6c7d69761,56540895,
0x8b0b3f81202ef8f23e958d088fe70f2d4872c74c,55114800,
0x3cb227235d1aea15ae11ad6d537dc2cdd3fae7b7,53912968,
0x572b4de5be467f6e7210f77940d462b9b8ef3ea5,51031575,
0x537b28c7b40268fb615f1d1351133fb00b5185af,50477658,
0x3e834ae24a6d893cd5b762617f5f223af1b08db1,49117335,
0x241565915f446506c8c8298f293d0f5106b31c73,48661752,
0x201d64fef9f20a90cdbee5a453508ce6bb34c35b,47495960,
0xe09d6b11e8db4230094084920889c45bad85b1e2,47490279,
0x40b0c69a68624282e04238d02d317853b5c25434,47484064,
0x4ac2e54713ef2e1a18ce7f6593e3d02a59d1892a,46762382,
0xf56d3bb6286a29957a3efa54773cc2af87a31d71,46750858,
0xa9aa16463c402c6e864511e76e24d1a386a7adfb,46495588,
0xfb56bfa8dedb4d7e4b9eb15a25a7847427ab796e,45520140,
0x6195067ff57ef54b03e232a497c0b1a71de6c174,43949367,
0x39e6b9ca044eddd2bd00443db048e62ce6f44410,43062348,
0x77777020820b2d68144a1c37447e5bf6b1902dee,41551718,
0x5ab42fa4a6fbd0000831e0f4a80ebb1b8198546f,41411720,
0xb05c549d32f8f4b6fc375a5e83b05d39817a5f3c,41169120,
0xa8c0fe713ef2c28cf3c229d444e7c80a65914029,41032077,
0x17e75b908325695c5df7c75971a7b007d109bd6d,40437250,
0xb154af72c7f5760a92c46193aeb24ff8ddd64488,40273511,
0x182cebab47af1302f39a3de67da8ba3945341690,39200000,
0xd550894cb567b4f1d2c0d4a2251dde43ba9a68f1,39010188,
0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,38989566,
0x4e790cb8eab70ffaa1424b1a7c00277947c4a922,38949082,
0x40ac30d2056c4c23774b05b539d7306e24d81ace,38468251,
0xec4f9dd55da80c42e81cc9165aa7d675c86f9419,38355790,
0x7c4344fed020fba492446a2369fead340ee6f527,37856862,
0x271d8e39108990e89de0aef49275a194269b58c5,37168824,
0x09c0e7d6c97b942a06361bed21a1f4224d7988f5,36768508,
0x0fa74724bd26b8c37424a95dd95f915ddbc9b2ad,36475136,
0xe0b2c0e19884c299052b239551c3ff972afbb602,36229370,
0xdf33b0500e6232904594704730e557683303dfd6,35839168,
0x6aacaad3c6a47391bca95071c235c49716b7d865,35836928,
0x278df7a9a1f61c2334011eaeeabfb86cfe4dc40d,35700000,
0x2e142d386019361f645f948797ed6924ff7a294d,35472957,
0x7f9c8f1cfc05709d5db4481fe112c508cf65b7ef,34318218,
0x2b02efbf4fa4585ae3cc9d81913770e9b12484db,33103848,
0xc0e5e14bdecd9ed6954a9e14c74e97cebd91bb94,32993056,
0xa659f1e4baaafd27214ad8022c520dc74a932301,32926608,
0x37fa73721a520cb70a9eacb6e9f39705ab5baec1,32605215,
0x2dd271f63548228e9c6f440bf29dcb37b8938f13,32406588,
0x00606d2f2d71b032efa240b51b82be971000aa00,31646406,
0x4086f688855dcae061e7f68fc181566fffa856ea,31436097,
0xe9bfa3295ed99da961bf2163fb26310d24feff0b,31383068,
