address,RNP_Points,RNP_primary_STO,RNP_final_STO
0xd746a2a6048c5d3aff5766a8c4a0c8cfd2311745,11825343421,3234736.713923456956131676,2587789.371138765564905340
0xad534bc6e6a6e9bc221e5122dc1bf42474d528c3,2377153728,650253.118649078699759813,520202.494919262959807850
0x4a9ce81c0d560d2e0f9014b7d758e93a7a0a64c1,2312762232,632639.293091525327890012,506111.434473220262312009
0xd589d2c94a803ce135fa44733ecc0c34e89e11d6,1050826861,287446.047547107534229509,229956.838037686027383607
0xdade1979656d0dfede5acf06047f72b34d413421,820596612,224468.236875367951779460,179574.589500294361423568
0x2b51d730cdcd79b235d929e402b744cb3ffdd24d,745177953,203838.011054700535893537,163070.408843760428714829
0x366c608ebea8e8162bbbaa650ae0ab02b9b2be72,583971906,159741.268983655159487750,127793.015186924127590200
0xf078969e55cabf9ae3f26afeb5ec627b4430f19e,583751556,159680.993843260737132793,127744.795074608589706234
0x6632f58b392830898024db1d668ec677e56d68e4,495732002,135603.884813061328142884,108483.107850449062514307
0x8cf3fd760325ae720d41583d2b304d10f46cd967,441976912,120899.570782361036839438,96719.656625888829471550
0xaaf5feaa9e5694b2b293e67558e2da8ea4b1fb13,438697266,120002.447464484904782508,96001.957971587923826006
0x6a7021c4cdd9f1d6e1698c836227c7443d85a9b4,353744390,96764.205904194669192437,96764.205904194669192437
0x089a2c44131b1eb30cc4fc226560163fcef2c288,327625444,89619.558129725251491918,89619.558129725251491918
0xfd9b33a607f9956d85b19aa9791c660412c20b98,283874109,77651.698544663283789610,77651.698544663283789610
0xe6c008e78ca4808c8a756f95847b6bc18f9b396e,245508911,67157.177574798016063068,67157.177574798016063068
0x854051eb79862cadec4f5b11650ad2f59ce415c4,230436792,63034.309007670987834482,63034.309007670987834482
0x5f69aa407a64f9460c0ff680365ed4970bb85c92,215359368,58909.989296365187604112,58909.989296365187604112
0x3bec5a2012ad1a6e7a6868b023944e49087e9356,199713060,54630.055503061926212057,54630.055503061926212057
0xd1da418fc86e02e78e052384a03b73ebb99b360b,198510605,54301.132680538780612649,54301.132680538780612649
0xab2c0a99974a3fcd54e9d9171d81617adcab5e96,185662568,50786.645573809790323963,50786.645573809790323963
0xa13ed4a199ea2173c611d3fd9572f827b905c0b9,160676010,43951.754303451827770641,43951.754303451827770641
0xf50fa91cd7f63c94b4308e50676d2e9247cbb8a4,138843995,37979.765334910258586380,37979.765334910258586380
0x24461ffd4d8b6c58aff4fe7926d1da4f660baca6,129575789,35444.514970243012674219,35444.514970243012674219
0x15977e15d7b24c76f94d2902970e0f0eedd78618,128862231,35249.326367431289385096,35249.326367431289385096
0xf6853c77a2452576eae5af424975a101ffc47308,117286220,32082.792724443417728070,32082.792724443417728070
0x75ff7ca999a11b488c07f8ed50536f9bab01ef25,114883692,31425.598658178245267849,31425.598658178245267849
0x5e894d83381592d0e5864e02214880adad0b09a5,114353750,31280.636877143977186930,31280.636877143977186930
0x4924cf2c7d5b5d34b46df58d42ef55ed832a6894,113168053,30956.298083677921353006,30956.298083677921353006
0xcd66c0da6683cba35fcf7dcc14260f749e76a5ef,112157034,30679.741187075114478097,30679.741187075114478097
0xb8a205399ff41145cf45c914b990befd125e581c,107518050,29410.780842679929572779,29410.780842679929572779
0x5981e2d42a4c4b26114c1675c95858ed08ff2cf3,105602640,28886.834363610809886336,28886.834363610809886336
0x5dca817c0386f5095042d8f67565d554a6f4c719,100498258,27490.567780099294710302,27490.567780099294710302
0x9a05e72c654cb580420147724fe29e366e806c8b,99679987,27266.735697477627477205,27266.735697477627477205
0xb312628fc7454dc2d492e5fcd59b85c6653bc26f,97846562,26765.215619067626087885,26765.215619067626087885
0x0f78822431ca9357b25076ce9d5a3bfda7bbde25,96959024,26522.436052217683596060,26522.436052217683596060
0xcd70c83f22de83aa2cbc0ea0e86a8ef1562d6263,96498961,26396.589163562003396884,26396.589163562003396884
0xd76945a7666c5b1a1e4b07c77aea8e3e96abaf0b,95406858,26097.852328299149586513,26097.852328299149586513
0xc3a6f05d7c5e89159a8f6c49c6dc302294148c91,92464154,25292.897044708370182742,25292.897044708370182742
0xdf756dc2f93f70d2cc0901c506d77216aecf2b7d,91832519,25120.117882906550513248,25120.117882906550513248
0x03387d5015f88aea995e790f18ef7ff9dfa0943c,91817264,25115.944988571552042520,25115.944988571552042520
0x15093ef2c02a3851a0c3412afe3f2eb9fac7ed71,91160779,24936.368289947397925462,24936.368289947397925462
0xf9c99018f35c40fe61970d3748e3f9fcd5a9f41a,90256254,24688.942052755363069018,24688.942052755363069018
0x4e0e46a5097364dae78cd04feddeee18758e018c,87480422,23929.633391483158873854,23929.633391483158873854
0x54d39f2acfdf0e992eeef53ce23cdfaa5f70adb5,85426170,23367.707692796873820463,23367.707692796873820463
0x184053aef84c3f13a98ffc52e1f80c9020018fce,84281130,23054.490326074707388334,23054.490326074707388334
0x54494827316c7c6627908a9261ab13ac0a5222e3,74395038,20350.221738590361175674,20350.221738590361175674
0x6aa2e02d63b20f2eac879fdc44ec49ebafab6fd3,73544552,20117.577476945293370012,20117.577476945293370012
0xcd532749cf70321ae426f2128c90a477cc71dfe9,72072972,19715.037467407630337984,19715.037467407630337984
0x253dbbabaa9fc1819ee7619d822ce890ba17e1ad,70378100,19251.417554766035576966,19251.417554766035576966
0xb54911f222e9cb8d8c4f50a0d149cfe07863578a,69641804,19050.009137376193951074,19050.009137376193951074
0x0328c0d6aff5e69df97748fefaa7199cf1291f79,68965884,18865.116135808696977340,18865.116135808696977340
0xf322afc9f43526df7d5a3f1387fdb9bca39c7d9d,66778890,18266.879828153787407308,18266.879828153787407308
0xa8d092b8b1a07ef7b8b409ced7cfb13c0e46e439,65494688,17915.595708141089530838,17915.595708141089530838
0x064b705f1ae65626b5765837cd42864703a02400,64796652,17724.653035573079533268,17724.653035573079533268
0x3df3a7ee1a5175ef463e37714c44653a49d1ac14,62802498,17179.166707830402352299,17179.166707830402352299
0x5539b08b1d5662ded7a38b8aede94706dd31be6c,62229168,17022.336454858611252833,17022.336454858611252833
0xe49946e1a9a59e883ab4954afd09e50a803fdedd,61740000,16888.528105067557045755,16888.528105067557045755
0x60ef0caf181b9fcb3fb7cab5bf44411974be9158,60624800,16583.473253386777330539,16583.473253386777330539
0x4919a26e813f03ae68c95ada1ddb195959aecaff,59405724,16250.003877160451817531,16250.003877160451817531
0xa4228088b7e0e8976b03e9e5f96347efa1628186,59292655,16219.074674304736177628,16219.074674304736177628
0x962cbd75dfb05e0792bbf614cf18fd5f021cb91b,58827820,16091.922439744984349327,16091.922439744984349327
0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,58018214,15870.460604872432930642,15870.460604872432930642
0x6fc2f00ed4f067201d66cb64e962abd6c7d69761,56540895,15466.350733611495154366,15466.350733611495154366
0x8b0b3f81202ef8f23e958d088fe70f2d4872c74c,55114800,15076.252815114632216803,15076.252815114632216803
0x3cb227235d1aea15ae11ad6d537dc2cdd3fae7b7,53912968,14747.500409711821199319,14747.500409711821199319
0x572b4de5be467f6e7210f77940d462b9b8ef3ea5,51031575,13959.316304395252955090,13959.316304395252955090
0x537b28c7b40268fb615f1d1351133fb00b5185af,50477658,13807.796336426760794479,13807.796336426760794479
0x3e834ae24a6d893cd5b762617f5f223af1b08db1,49117335,13435.689870319377989115,13435.689870319377989115
0x241565915f446506c8c8298f293d0f5106b31c73,48661752,13311.068453090822873443,13311.068453090822873443
0x201d64fef9f20a90cdbee5a453508ce6bb34c35b,47495960,12992.174527650866322366,12992.174527650866322366
0xe09d6b11e8db4230094084920889c45bad85b1e2,47490279,12990.620531405889179646,12990.620531405889179646
0x40b0c69a68624282e04238d02d317853b5c25434,47484064,12988.920463343482395275,12988.920463343482395275
0x4ac2e54713ef2e1a18ce7f6593e3d02a59d1892a,46762382,12791.509599399177816333,12791.509599399177816333
0xf56d3bb6286a29957a3efa54773cc2af87a31d71,46750858,12788.357292987081954211,12788.357292987081954211
0xa9aa16463c402c6e864511e76e24d1a386a7adfb,46495588,12718.530040486586403724,12718.530040486586403724
0xfb56bfa8dedb4d7e4b9eb15a25a7847427ab796e,45520140,12451.703332306606838043,12451.703332306606838043
0x6195067ff57ef54b03e232a497c0b1a71de6c174,43949367,12022.029798824564697074,12022.029798824564697074
0x39e6b9ca044eddd2bd00443db048e62ce6f44410,43062348,11779.392200651112812021,11779.392200651112812021
0x77777020820b2d68144a1c37447e5bf6b1902dee,41551718,11366.170347535495648107,11366.170347535495648107
0x5ab42fa4a6fbd0000831e0f4a80ebb1b8198546f,41411720,11327.874912523295326576,11327.874912523295326576
0xb05c549d32f8f4b6fc375a5e83b05d39817a5f3c,41169120,11261.513446402637902875,11261.513446402637902875
0xa8c0fe713ef2c28cf3c229d444e7c80a65914029,41032077,11224.026330155427452273,11224.026330155427452273
0x17e75b908325695c5df7c75971a7b007d109bd6d,40437250,11061.315729132540834928,11061.315729132540834928
0xb154af72c7f5760a92c46193aeb24ff8ddd64488,40273511,11016.526116184765377799,11016.526116184765377799
0x182cebab47af1302f39a3de67da8ba3945341690,39200000,10722.874987344480663971,10722.874987344480663971
0xd550894cb567b4f1d2c0d4a2251dde43ba9a68f1,39010188,10670.953294816474782242,10670.953294816474782242
0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,38989566,10665.312296653489632236,10665.312296653489632236
0x4e790cb8eab70ffaa1424b1a7c00277947c4a922,38949082,10654.238192801763766032,10654.238192801763766032
0x40ac30d2056c4c23774b05b539d7306e24d81ace,38468251,10522.710368744625144038,10522.710368744625144038
0xec4f9dd55da80c42e81cc9165aa7d675c86f9419,38355790,10491.947479868305051182,10491.947479868305051182
0x7c4344fed020fba492446a2369fead340ee6f527,37856862,10355.469353039585483613,10355.469353039585483613
0x271d8e39108990e89de0aef49275a194269b58c5,37168824,10167.261560678806866596,10167.261560678806866596
0x09c0e7d6c97b942a06361bed21a1f4224d7988f5,36768508,10057.758029468761123701,10057.758029468761123701
0x0fa74724bd26b8c37424a95dd95f915ddbc9b2ad,36475136,9977.508251897658445605,9977.508251897658445605
0xe0b2c0e19884c299052b239551c3ff972afbb602,36229370,9910.280749496135393696,9910.280749496135393696
0xdf33b0500e6232904594704730e557683303dfd6,35839168,9803.543829449916234409,9803.543829449916234409
0x6aacaad3c6a47391bca95071c235c49716b7d865,35836928,9802.931093736353692656,9802.931093736353692656
0x278df7a9a1f61c2334011eaeeabfb86cfe4dc40d,35700000,9765.475434903009176117,9765.475434903009176117
0x2e142d386019361f645f948797ed6924ff7a294d,35472957,9703.369473021589458683,9703.369473021589458683
0x7f9c8f1cfc05709d5db4481fe112c508cf65b7ef,34318218,9387.499015368243074565,9387.499015368243074565
0x2b02efbf4fa4585ae3cc9d81913770e9b12484db,33103848,9055.316931225857437221,9055.316931225857437221
0xc0e5e14bdecd9ed6954a9e14c74e97cebd91bb94,32993056,9025.010585164687291768,9025.010585164687291768
0xa659f1e4baaafd27214ad8022c520dc74a932301,32926608,9006.834217890221321076,9006.834217890221321076
0x37fa73721a520cb70a9eacb6e9f39705ab5baec1,32605215,8918.919499502272222248,8918.919499502272222248
0x2dd271f63548228e9c6f440bf29dcb37b8938f13,32406588,8864.586527815760177329,8864.586527815760177329
0x00606d2f2d71b032efa240b51b82be971000aa00,31646406,8656.644268794599412020,8656.644268794599412020
0x4086f688855dcae061e7f68fc181566fffa856ea,31436097,8599.115770944767004266,8599.115770944767004266
0xe9bfa3295ed99da961bf2163fb26310d24feff0b,31383068,8584.610073554361635258,8584.610073554361635258
0xf99e7de2d3ef6feaf38da924f17ce26faf759428,30541632,8354.441373609178205871,8354.441373609178205871
0x575a8d950461fceafd601581371c06a0fa514e66,30036630,8216.301748242878781782,8216.301748242878781782
0x67bcd41adbf12d1ecffd86e17af2b14179b556a3,28877249,7899.161505240265737479,7899.161505240265737479
0xc23a23d95a6a49d8b3eb70df91ea6a550ca2daba,28138191,7696.997562832183156087,7696.997562832183156087
0x1f3372af3835cf448e77bba8532dd01b202085c3,28095176,7685.231122332677471502,7685.231122332677471502
0xc25d35024dd497d3825115828994bb08d12a3aa7,27956751,7647.365970033617274157,7647.365970033617274157
0xf0eef098ebbfd83030838e1c80ef3b2f85513c3e,27720000,7582.604455336454183808,7582.604455336454183808
0x1c381369871d7eba1b4290723320452db3d9be84,27084275,7408.706503771924337632,7408.706503771924337632
0xef0f72fb568c97703adc3efc3748a0ad97c41854,26982006,7380.731562392313809749,7380.731562392313809749
