holder,points,lastBalance,avgBalance,allDuration
0x44ee5131a0fe22a9c330866410a087cb01d4cda4,478159700421550523542,47815970042155052356,47815970042155052356,864000
0x15cbff12d53e7bde3f1618844caaef99b2836d2a,458933318574819139953640,4280841504130826825589,45893331857481913995366,864000
0x532c7caf65974f813132c28ce80e6e10e5af26c4,999999999999982,100000000000000,100000000000000,864000
0xed6e4c3b1d0e93e52cc7c5ad5e4a897822033b13,20728809999999999978,2072881000000000000,2072881000000000000,864000
0x9683b75853394b4d664256fdba643d651926c857,21699999999999999978,2170000000000000000,2170000000000000000,864000
0xf301bec395546c22b426ca2909e1bc7d9bc6382f,1097316068362540752237334,109731606836254075223736,109731606836254075223736,864000
0x42de065c7ddc9293f3bf17f06bcce01512daef03,804789169795134288140686,80478916979513428814071,80478916979513428814071,864000
0x2e6248f5d3c8b5421ce70e7a71763efa1af24b74,0,0,0,0
0xa7170061016d10e393c6e37d774c0e661958e350,0,0,0,0
0x3a751da91188e28f76b8dc57a58e574429e4284b,0,0,0,0
0x027224337e69c907fbc34b6bec85c3d419a35d60,0,0,0,0
0x0621d70c00715e2291f10ec42354e66b1beeaa84,0,0,0,0
0x4426f66628e02299932c49c4685f4a50a5f8666c,129083072183545387276,12908307218354538730,12908307218354538730,864000
0xedfde49603510c2857914fb541a2597eece9a94b,0,0,0,0
0x3e499ae3d6650636869a4efc80ed64bab20ec534,2037854752096211500655080,203785475209621150065510,203785475209621150065510,864000
0x185eddde78e1f8d978eca0a232329e531ffd88cf,0,0,0,0
0xca14b3e34197f922b2db18f1ff8818d88d57168a,0,0,0,0
0x99724019c3bdf7f55742f63320790a4dec2a5442,0,0,0,0
0x0d65a30c4e30bbc2918bfb2e559dd7c10f595908,0,0,0,0
0x6e1c5acbabaf0b3c73d4412c17c40d2f1d2e183b,149357867811620935274869,21906454125357051976658,18536023101475825149816,696186
0xd4150b83ec3136be9ff9f7f696853e29bef688fa,97632370329958886692,9763237032995888671,9763237032995888671,864000
0xc40644aa6e0dcb974109bacad3c6215a22ca9470,0,0,0,0
0x26f78baeb4fd7bf8f9d82c47fe8af2876fe7d7eb,0,0,0,0
0x930aa106d31c564739d464507388cd1d09f5d2d8,0,0,0,0
0x39181d980fcf41a494e21f770391b8a47085f549,0,0,0,0
0x6121704de5e7124694fd81da9430779b132f7c87,0,0,0,0
0x1ee250bef4127441ef88ef16c6dde8b286c6bdf3,149001565768907499977780,14900156576890749997780,14900156576890749997780,864000
0x0df6abbbd058f3e7c9090721c8af30cd8c52ba74,201062348382435929129930,20106234838243592912995,20106234838243592912995,864000
0x4c8982110511fc48d605024fd2d7cbce6d3392bc,0,0,0,0
0x2791ff23218b3be5a62698fef19fc04ec6be6a86,510238101271283529991,51023810127128353001,51023810127128353001,864000
0xc18ad460e0e2f6936c171dd0e3f66a561510217b,0,0,0,0
0x1ce819a997071304ca1ec1104f07a7f2c7707fc7,175523844475773034947,17552384447577303497,17552384447577303497,864000
0x4839054db0269e73e8c76a3dfb14fc33d31a1356,993343771792716637,99334377179271666,99334377179271666,864000
0x73039a0ef33bc02d14f40614165640fb4fe3cfb7,0,0,0,0
0xa7427edab99623fd11a979a870f299e0a98cef11,0,0,0,0
0xa74e3b7346fdbbc17c2a1fa7aa5d436cf3730b20,629839551942889929572841,62983955194288992957286,62983955194288992957286,864000
0x6a5bbc43b93c664b2e6789461a61b5f97c9f7a4c,0,0,0,0
0xd4c0ad42438a9026164dd65b7e9f85f45d2cf940,0,0,0,0
0x399befbcad69f9aaa8b8345cbd7bf45157e46cf6,166972630002589887753557,24964802234795942869444,24964802234795942869444,577871
0xe0177af4dd48bf49e9c8ab183388b7b26e50f92c,49766522966815104992560,4976652296681510499258,4976652296681510499258,864000
0xda0e271396d2e3a80a52e1537e0993d4af35161b,0,0,0,0
0x5e4db7429b94c70c0bc36693825f913f6e9fee98,0,0,0,0
0x8a16718aca875d59e348b4d276cc5ecbede68b22,111254536214472507602443,11125453621447250760246,11125453621447250760246,864000
0x8e8df055624250f6b3dca93d3357cd3f55d93a0d,793499191265984506270,79349919126598450629,79349919126598450629,864000
0x138b3885c2f15680ac99b0fd139731b1fb6ba56a,197293211498630639489348,19729321149863063948937,19729321149863063948937,864000
0x551c60ab2a8c924207d78c9fd4d3bce34fee70db,0,0,0,0
0x98857840ae11987193a1e59e528837d7ef6a58a8,0,0,0,0
0xa23f69a3442eb430fd5917de726dfdcccef9af5c,5020141420575626734838,502014142057562673486,502014142057562673486,864000
0x915579036b62ee9f6347a0b8cd145c562867df2b,1025194760373106997666229,102519476037310699766625,102519476037310699766625,864000
