idx,holder
1,0x0000000000000000000000000000000000000000
2,0xcafc58de1e6a071790efbb6b83b35397023e1544
3,0xe4bdfe211255fed62ec74fa13b286354e15a945a
4,0x6a087212b8b9fed39e0874bd37a5236236ee8acd
5,0x979ea3cde425c9e6d552680e46f962ff30afb035
6,0x9aa9baaf1e4cfea1560cc5dd19f4351b49e299f4
7,0x9ab921aafb574ac43c591cd8ddfafe762b3c26a8
8,0xa6fbe8f447fe74d39c2d904d521a2819c4ba7c33
9,0xdbcfcf489faa6a6d068bdd71f130da5f1526d51f
10,0xd699661d340020fac955b227a913cd58aca68bf2
11,0xb8a64047b8ae65b8349a47662b52e9835cd8abc5
12,0x0cb5f0af4e0d5103e1b2126bcd787ce405d12ebb
13,0x76c94b5e1de57efbc9033871a4da842c1a4e53a6
14,0xb1d009a27f194ad430430469c27aadfea7a0bd6b
15,0xe0647674b89bf40247cc6d7109f3c256949ebc64
16,0x288a2395f027f65684d836754ba43afa20ca09e6
17,0xeb4576fe753dab07635c0bb6c8f0a355e1db5d31
18,0x84d0f74d21a89f86b67e9a38d8559d0b4e10f12d
19,0x551b440abe127c38f3631d6f4e467685a5d7d97b
20,0xd93ec7e214c50fe64050d0a88002942f0e242659
21,0x1f71901f9325d912e701e23235835bc53aa2ad19
22,0x6d6b9faa928f13efba6e0562226981e6f809c977
23,0x7338afb07db145220849b04a45243956f20b14d9
24,0x303f2d38ab911296deca9dc19968a854d9cbcadc
25,0xb32ffb6e7c0e2a55be9506eaca3799d5d10aee94
26,0xfdbdceee5fc8d37d041f7900ac3916845e33d2e3
27,0xa9860629427fbfe3844618177096ada0f59b0081
28,0x5605eccbccb06c1bfe049a3ae1b8d7899213e438
29,0x3755f1afdef0ff9a889bd59240555d3c5499d892
30,0xb53cdd235551342d11e1b80ca64b40a8dbe67946
31,0x5e9b6768e019bf0a01bbdaee8ccd656ac8ce907b
32,0x593ab02fc8b50eccd60b7b49e2f5ebf4f2cb164f
33,0x7daa8dd52ee1bfbf420ce740fc6e66665dfbdc1b
34,0xb90781ceb500f80a9c101225ed5451449a3aa5bc
35,0xdac20285da0f29ea3f128a078f58bd3242af8729
36,0x595d9d2815e8299d806dc140945e6f106a7a0c92
37,0x98e1c4e34ccded4760ef8da63bcccdf4a75b3c4b
38,0xdff8c2bc6a1fb016d1d4a4f97a366b27d8f60901
39,0xd23d1c87af3147608cd56f1c90d41ffa8469be97
40,0x0414ab2d43867b37af9cb601b573e3937f4f8784
41,0xb905abfe95cfaac346b3ae9a7d272fdf174893db
42,0x8c8c89915931b1ea8f9ff00fa79125a3bd2502a6
43,0x28d3656431144ae6a875841d1db1eb750159e385
44,0x6af07b75532b7d0e2c1978c598812aac30e6665d
45,0x702ea42715ac138ebab4d728a4c814a868c2eafd
46,0xe790e84efe105a610ec61d9d31edc07c2569f529
47,0xe39dafac663f2fdd47773559a6317be22d7d35ad
48,0x81ad2e122a6ba758c6154dc4481b99be5c930239
49,0x2ed6bc26fd092401157e9e4c2c7472656237c163
50,0x9e8b8db31afe945d5f620adb1d1399352e0272fd
51,0x58be434ef4694ffb03f71dbbba471b23dff2b0c1
52,0x0b8dba0e3f5174463a4d5c18c11b969fd5e13641
53,0x7c22245b50bcc781b7246a32f11c6496901618fc
54,0x759500a80c17978df1b92d2497a80786290115c2
55,0x976d73f6dcd45a8d9aac5e221f6e7b289d0b4e67
56,0xb2ca0a192b5476c98a1e331d0cc138091d2743c1
57,0xc15515c2f3356abbb0925ea9add16fe0de8aed21
58,0x646014f4b229d2a2ec9b1baa69222f6c925354f0
